Row,Document Number,Receive Date,Form Status,Form Status Date,Complainant Connection,Facility Type,Well Name,Well Number,API State Code,API County Code,API Sequence Number,Facility Name,Facility ID,County Name,Qtr Qtr,Section,Township,Range,Meridian,Operator Number,Operator,Initial Contact Date,Method Received,Routed Agency,Issue Category,Issue Description,Issue Resolution,Issue Resolved Date,Letter Sent,NOAV,NOAV Number,Form 19,Form 19 Number,Form 27,Form 27 Number,id,api_number,api_county,county_name,well_number,well_name,lease_number,is_vertical,is_drifted,is_deviated,is_horizontal,facility_id,location_id,location_name,status_code,status_date,operator_number,operator_name,field_code,field_name,usgs_elevation,longitude,latitude,utm_x,utm_y,section,township,range,qtr_qtr,meridian,dist_n_s,dir_n_s,dist_e_w,dir_e_w,loc_qual,is_denver_basin,is_wattenberg,is_piceance_basin,is_raton_basin,is_san_juan_basin,is_denver_aquifer,is_fracked,has_frac_focus_report,ff_job_start_date,ff_job_end_date,ff_reported_date,ff_job_prior_to_rule_205,ff_days_to_report,completion_data_confidential,scout_card_url,created_at,updated_at,is_other_basin
11,200443467,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,Low rumbling began,,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
12,200443467,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Pratt residential drilling/hydraulic fracturing site in Erie, Colorado
Issue: noxious smells continue.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
13,200443466,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"I can not sleep due to the constant humming noise outside. We sleep with the windows open as we prefer the fresh Colorado summer air. Sadly, tonight it is different! 
Noise is described as noise you hear, Constant loud hum that fluctuates in instensity, continuous, began on 8/7/17.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
14,200443466,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"I live at 2097 Primrose Ln. It is 4:19AM on Sunday morning, August 6th. The weather is ""mostly clear"".  I have a scratchy throat that I did not have when I went to bed. This is not a common occurrence for me. Also, this evening, as we returned home from school supply shopping for our kids, we could smell an unusual gas odor that we have not smelled before. At the beginning of Primrose Ln, closer to Mountain View Blvd. it smelled more like sewage outside. As we got closer to our house, closer to Crestview, we instead smelled more of a gas smell. My family has quietly listened to the concerns of our neighbors, without speaking out. Tonight, not being able to sleep and waking up with a scratchy throat, I am concerned. As I type, I continue to smell that gas smell and the hum just got lowder. This can not be good for my family, for my neighbors, for any of us. I am concerned for our health and well-being.
Odor is described as gaseous, first noticed on 8/5/17. Residence is 500 feet south of the source",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
15,200443465,8/6/2017,APPROVED,8/6/2017,Nearby resident,LOCATION,,,5.0,123,Null,Triple Creek,436824.0,WELD,SENE,8,5N,66W,6,10459.0,EXTRACTION OIL & GAS INC,8/7/2017,Online Tool,,NOISE,"Location: Extraction site at Triple Creek, Greeley, CO
Issue: Well, it must be time to (try to) go to sleep, because the Triple Creek site outside my back door has cranked up the fracking pressure to an all time high. Although it's a pleasant evening, I'll have to close the doors and windows and run the A/C. Extraction should be required to pay my costs for air conditioning since I can't take advantage of the outside air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,200443464,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Terrific diesel fuel stench to air, had to close our windows. Very diesel fuel smell to the air from 8 pm through 10 pm",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
17,200443463,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Pratt Pad Site Facility ID: 434526 05-123-38228
Issue: It is approximately 7:30pm Saturday August 5. I had my windows open airing out the house and was forced to close them due to the thick petroleum smell in the air. It is 72F, at 54% humidity. The wind is blowing at around 20mph out of the north and northeast. Hopefully the rain that is now coming in will help mitigate, but this is ridiculous that I cannot even air my house out I. The evening due to this.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
18,200443462,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,The fumes are too strong. Our house is right behind the while trailer that is measuring air control. We cannot have the windows in the house open today.,,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
19,200443461,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Pratt
Issue: Petroleum odor is pretty strong right now. Winds coming from the Northeast 9MPH. It's 4:55PM on 8/05. Humidity 29%. Pressure in Hg 80 degrees.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
20,200443460,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Vista Ridge neighborhood First smelled it on Hickory Drive near the horse property. Smelled it intermittently as I walked down Hickory toward Men View. As I crossed Men View to the other side of Hickory, it was very strong.
I went for a walk around 3:45. I When I turned the corner from Vale Way to Hickory, I first thought someone had spilled gas or was using some type of lawn equipment. As I kept walking, I could tell the smell was being blown toward me as the wind picked up. I was down wind from the Pratt site, and the smell was blowing right towards me. It was intermittent as I walked down Hickory, but as I got closer to the intersection of Hickory and Men View it was strong enough that my throat started to hurt. I live at 1571 Hickory Drive, and I smelled it till I got inside. My throat and head still hurt from it. I don't need a follow-up call. There's no way this smell could be attributed to anything else. This is only the second time I've smelled it, but both times it's been strong.",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
21,200443459,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,ODOR,"Location: Vista Ridge 2nd hole golf course. South of rig
Issue: Smells strongly of petroleum and chemicals",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
22,200443458,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"Location: Pratt
Issue: We sleep with our windows open and we heard a very loud screeching metal sound at 5 AM this morning (8/5/17).",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
23,200443457,8/6/2017,APPROVED,8/6/2017,Nearby resident,LOCATION,,,5.0,123,Null,Pratt,434526.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"Location: Pratt/ Inside my home at 1707 Alpine Drive
Issue: I opened my bedroom window at night to let some ""fresh"" air in since it had cooled down. I went to bed around 10PM. I woke up at 1:30AM with a severe headache and noticed the strong odor coming on through the window. We had taken a walk on the path behind Crestview earlier prior to dinner and noticed the smell then too. It was breezy that night, blowing the stench across the neighborhood. Now that the summer is winding down it would be nice to open our Windows without the nuisance of the odor and the side affects it's causing. [08/04/2017]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,200443456,8/6/2017,APPROVED,8/6/2017,Nearby resident,WELL,,,5.0,123,38228,Pratt,434529.0,WELD,SESE,29,1N,68W,6,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,8/7/2017,Online Tool,,NOISE,"Location: Pratt -- Facility ID: 434526 
Issue: The rig was making a high pitched squealing sound most of the day. I saw COGCC field inspector Gary Helgeland right outside my home today. He was parked on the street listening to the sound that was hearing and confirmed he heard it as well. Why was Cretonne allowed to come back and drill on this site??? I can hear them drilling through the rocks under ground!!! There is a geological issue here and it's not going to go away. Between the the nuisance of the smell and the issues with the noise this location should NEVER have been approved for them to come back to. Crestone needs solutions to these issues when drilling in such close proximity to people's homes. How long do we need to endure this kind of industrial activity before action is taken?",,,,,,,,,,12338228.0,05-123-38228,123.0,Weld,4E-29H-P168,Pratt,,f,f,f,t,434529.0,434526.0,Pratt 29H-P168,XX,2015-07-30,10633.0,CRESTONE PEAK RESOURCES OPERATING LLC,90750.0,WATTENBERG,5177.16,-105.02242700000001,40.016601,498086.0,4429600.0,29.0,1N,68W,SESE,6,677.0,S,1201.0,E,PLANNED LatLong,t,t,f,f,f,t,f,f,,,,f,,f,http://cogcc.state.co.us/cogis/FacilityDetail.asp?facid=12338228&type=WELL,2017-02-24 11:00:00,2017-02-24 11:00:00,f
